merchant_id,category,city_tier,acquisition_channel,device_type,state,cohort_month_index,gst_registered,slow_settlement,competitor_density,onboarded_month,onboarded_before_window
MID100000,kirana,tier_3,field_sales,soundbox,Madhya Pradesh,20,False,False,0.2606,2026-04,False
MID100001,salon,tier_2,referral,qr_static,Maharashtra,-26,True,False,0.4779,2024-08,True
MID100002,kirana,tier_1,self_serve,qr_dynamic,Andhra Pradesh,-1,False,False,0.8114,2024-08,True
MID100003,electronics,tier_1,self_serve,qr_static,Karnataka,8,True,False,0.7817,2025-04,False
MID100004,restaurant,tier_2,referral,qr_static,Madhya Pradesh,0,True,False,0.5751,2024-08,False
MID100005,kirana,tier_3,self_serve,qr_static,Rajasthan,-28,True,False,0.2234,2024-08,True
MID100006,grocery,tier_3,field_sales,qr_static,Maharashtra,-19,False,True,0.2197,2024-08,True
MID100007,kirana,tier_1,referral,qr_dynamic,Maharashtra,-25,True,False,0.8192,2024-08,True
MID100008,pharmacy,tier_2,field_sales,qr_static,Maharashtra,-9,False,False,0.6297,2024-08,True
MID100009,kirana,tier_3,referral,qr_static,West Bengal,12,True,False,0.4296,2025-08,False
MID100010,salon,tier_2,self_serve,soundbox,West Bengal,10,True,False,0.4981,2025-06,False
MID100011,grocery,tier_1,referral,soundbox,Maharashtra,20,True,False,0.8555,2026-04,False
MID100012,fuel,tier_2,partner_bank,soundbox,Gujarat,15,True,False,0.6253,2025-11,False
MID100013,pharmacy,tier_3,partner_bank,soundbox,Gujarat,15,False,False,0.517,2025-11,False
MID100014,restaurant,tier_3,field_sales,qr_static,Maharashtra,-24,False,False,0.3131,2024-08,True
MID100015,services,tier_3,field_sales,soundbox,Rajasthan,-24,False,False,0.5001,2024-08,True
MID100016,apparel,tier_2,field_sales,qr_dynamic,Rajasthan,-12,False,False,0.6721,2024-08,True
MID100017,salon,tier_1,partner_bank,soundbox,Kerala,-24,True,False,0.7963,2024-08,True
MID100018,salon,tier_2,referral,qr_static,Punjab,-24,True,False,0.5813,2024-08,True
MID100019,kirana,tier_3,self_serve,soundbox,Maharashtra,-6,False,False,0.3291,2024-08,True
MID100020,salon,tier_3,field_sales,qr_static,Karnataka,4,False,False,0.1677,2024-12,False
MID100021,kirana,tier_2,self_serve,pos,Uttar Pradesh,-29,False,False,0.7554,2024-08,True
MID100022,restaurant,tier_2,self_serve,qr_static,Kerala,-3,True,False,0.6397,2024-08,True
MID100023,restaurant,tier_3,referral,soundbox,Bihar,5,False,False,0.1206,2025-01,False
MID100024,grocery,tier_2,referral,soundbox,Rajasthan,9,True,False,0.4318,2025-05,False
MID100025,apparel,tier_2,referral,soundbox,Uttar Pradesh,-20,False,False,0.6218,2024-08,True
MID100026,pharmacy,tier_3,self_serve,soundbox,West Bengal,-22,False,False,0.4426,2024-08,True
MID100027,restaurant,tier_3,self_serve,qr_dynamic,Maharashtra,-16,False,False,0.2776,2024-08,True
MID100028,kirana,tier_2,field_sales,qr_static,Maharashtra,-21,False,False,0.5518,2024-08,True
MID100029,kirana,tier_3,field_sales,qr_static,Tamil Nadu,-27,False,False,0.3331,2024-08,True
MID100030,apparel,tier_1,self_serve,qr_dynamic,Uttar Pradesh,11,True,False,0.7971,2025-07,False
MID100031,kirana,tier_3,self_serve,qr_static,Punjab,17,False,False,0.4539,2026-01,False
MID100032,kirana,tier_1,self_serve,soundbox,Odisha,-17,False,False,0.6942,2024-08,True
MID100033,restaurant,tier_1,field_sales,qr_static,Uttar Pradesh,0,True,True,0.8586,2024-08,False
MID100034,pharmacy,tier_3,field_sales,qr_static,Karnataka,-11,False,False,0.2754,2024-08,True
MID100035,services,tier_3,partner_bank,qr_dynamic,Maharashtra,-9,False,False,0.3331,2024-08,True
MID100036,restaurant,tier_3,self_serve,soundbox,Uttar Pradesh,-21,False,True,0.3567,2024-08,True
MID100037,salon,tier_3,field_sales,qr_static,Uttar Pradesh,-10,False,False,0.3706,2024-08,True
MID100038,kirana,tier_1,self_serve,qr_static,Maharashtra,-24,True,False,0.7537,2024-08,True
MID100039,restaurant,tier_3,referral,soundbox,West Bengal,-16,False,False,0.2598,2024-08,True
MID100040,kirana,tier_2,self_serve,qr_static,Maharashtra,-5,True,False,0.5848,2024-08,True
MID100041,electronics,tier_2,self_serve,qr_static,Kerala,-10,False,False,0.3458,2024-08,True
MID100042,pharmacy,tier_3,self_serve,qr_dynamic,Madhya Pradesh,19,False,False,0.3313,2026-03,False
MID100043,grocery,tier_1,self_serve,soundbox,Uttar Pradesh,-20,False,False,0.6641,2024-08,True
MID100044,restaurant,tier_1,field_sales,qr_static,Maharashtra,13,True,False,0.7883,2025-09,False
MID100045,kirana,tier_3,field_sales,qr_static,Maharashtra,-12,True,True,0.4022,2024-08,True
MID100046,kirana,tier_1,field_sales,soundbox,West Bengal,6,False,False,0.9294,2025-02,False
MID100047,pharmacy,tier_1,referral,qr_dynamic,Maharashtra,20,True,True,0.8473,2026-04,False
MID100048,salon,tier_2,referral,qr_dynamic,Rajasthan,17,False,False,0.4528,2026-01,False
MID100049,salon,tier_1,field_sales,qr_static,Andhra Pradesh,0,False,False,0.8063,2024-08,False
MID100050,kirana,tier_3,field_sales,qr_static,West Bengal,-13,False,False,0.375,2024-08,True
MID100051,kirana,tier_3,field_sales,soundbox,Telangana,5,False,False,0.237,2025-01,False
MID100052,salon,tier_1,self_serve,qr_static,Uttar Pradesh,6,True,False,0.9075,2025-02,False
MID100053,electronics,tier_3,field_sales,soundbox,Maharashtra,5,True,True,0.3027,2025-01,False
MID100054,fuel,tier_2,field_sales,qr_dynamic,Maharashtra,-18,True,True,0.6336,2024-08,True
MID100055,restaurant,tier_3,field_sales,pos,Uttar Pradesh,14,True,False,0.406,2025-10,False
MID100056,pharmacy,tier_3,self_serve,soundbox,Punjab,-15,False,False,0.3286,2024-08,True
MID100057,kirana,tier_3,field_sales,pos,Assam,-27,False,False,0.3043,2024-08,True
MID100058,services,tier_2,field_sales,soundbox,Assam,-18,False,True,0.5982,2024-08,True
MID100059,grocery,tier_1,field_sales,soundbox,Uttar Pradesh,2,False,True,0.8937,2024-10,False
MID100060,kirana,tier_1,field_sales,qr_dynamic,Maharashtra,-26,True,False,0.8642,2024-08,True
MID100061,electronics,tier_1,field_sales,qr_static,Tamil Nadu,16,True,False,0.803,2025-12,False
MID100062,restaurant,tier_3,field_sales,soundbox,Uttar Pradesh,-8,True,False,0.0624,2024-08,True
MID100063,fuel,tier_2,self_serve,soundbox,Rajasthan,4,True,False,0.6251,2024-12,False
MID100064,pharmacy,tier_2,referral,soundbox,Bihar,9,False,True,0.505,2025-05,False
MID100065,pharmacy,tier_2,self_serve,qr_dynamic,Karnataka,-2,False,False,0.5759,2024-08,True
MID100066,restaurant,tier_1,self_serve,qr_dynamic,Karnataka,16,True,False,0.7957,2025-12,False
MID100067,pharmacy,tier_2,field_sales,soundbox,Maharashtra,2,False,False,0.4544,2024-10,False
MID100068,grocery,tier_1,self_serve,soundbox,Assam,0,False,False,0.8107,2024-08,False
MID100069,kirana,tier_2,field_sales,soundbox,Uttar Pradesh,-15,False,False,0.5931,2024-08,True
MID100070,restaurant,tier_3,self_serve,qr_static,Maharashtra,18,True,False,0.2986,2026-02,False
MID100071,electronics,tier_2,field_sales,soundbox,Maharashtra,12,False,False,0.5598,2025-08,False
MID100072,restaurant,tier_1,referral,qr_static,West Bengal,2,True,False,0.8288,2024-10,False
MID100073,salon,tier_3,partner_bank,qr_dynamic,Bihar,-11,True,False,0.3544,2024-08,True
MID100074,apparel,tier_3,field_sales,qr_static,Gujarat,-6,False,False,0.2597,2024-08,True
MID100075,salon,tier_1,field_sales,soundbox,Tamil Nadu,4,True,False,0.99,2024-12,False
MID100076,apparel,tier_3,self_serve,qr_static,Maharashtra,3,False,True,0.0903,2024-11,False
MID100077,salon,tier_3,referral,soundbox,Gujarat,18,True,True,0.2204,2026-02,False
MID100078,pharmacy,tier_3,partner_bank,soundbox,Maharashtra,-6,False,False,0.3354,2024-08,True
MID100079,salon,tier_2,self_serve,qr_static,Tamil Nadu,16,False,False,0.5789,2025-12,False
MID100080,restaurant,tier_1,field_sales,soundbox,Andhra Pradesh,15,True,False,0.9242,2025-11,False
MID100081,grocery,tier_1,self_serve,soundbox,Odisha,-1,False,False,0.7724,2024-08,True
MID100082,salon,tier_1,field_sales,qr_static,Karnataka,-1,False,False,0.9122,2024-08,True
MID100083,apparel,tier_2,self_serve,qr_static,Bihar,16,False,False,0.4595,2025-12,False
MID100084,salon,tier_1,referral,qr_static,Uttar Pradesh,-25,False,False,0.9324,2024-08,True
MID100085,grocery,tier_2,field_sales,pos,Uttar Pradesh,-2,False,False,0.5384,2024-08,True
MID100086,kirana,tier_2,field_sales,soundbox,Maharashtra,4,False,False,0.6079,2024-12,False
MID100087,pharmacy,tier_3,field_sales,pos,Telangana,-16,False,False,0.2654,2024-08,True
MID100088,grocery,tier_3,field_sales,qr_static,Assam,13,False,False,0.1907,2025-09,False
MID100089,grocery,tier_3,field_sales,soundbox,Tamil Nadu,8,False,True,0.2116,2025-04,False
MID100090,salon,tier_1,partner_bank,qr_static,Odisha,6,True,False,0.99,2025-02,False
MID100091,grocery,tier_3,field_sales,qr_static,Maharashtra,-7,False,False,0.3815,2024-08,True
MID100092,apparel,tier_2,field_sales,qr_static,Maharashtra,-23,False,False,0.4045,2024-08,True
MID100093,restaurant,tier_3,self_serve,qr_static,Madhya Pradesh,-10,True,False,0.3714,2024-08,True
MID100094,pharmacy,tier_3,self_serve,qr_static,West Bengal,-21,False,False,0.4115,2024-08,True
MID100095,electronics,tier_2,field_sales,qr_dynamic,Rajasthan,8,True,False,0.6313,2025-04,False
MID100096,apparel,tier_2,partner_bank,soundbox,Maharashtra,16,True,False,0.6058,2025-12,False
MID100097,electronics,tier_3,referral,qr_static,Tamil Nadu,-5,False,False,0.3055,2024-08,True
MID100098,kirana,tier_1,referral,qr_static,West Bengal,-20,True,False,0.752,2024-08,True
MID100099,grocery,tier_3,referral,qr_static,Karnataka,-13,False,False,0.2308,2024-08,True
MID100100,kirana,tier_3,field_sales,qr_static,Bihar,-19,False,False,0.0575,2024-08,True
MID100101,apparel,tier_3,field_sales,qr_dynamic,Bihar,0,False,True,0.3676,2024-08,False
MID100102,kirana,tier_2,referral,qr_dynamic,Maharashtra,10,True,False,0.5819,2025-06,False
MID100103,salon,tier_1,self_serve,soundbox,Rajasthan,-13,True,False,0.8398,2024-08,True
MID100104,services,tier_2,referral,qr_static,Punjab,-1,True,False,0.5615,2024-08,True
MID100105,kirana,tier_3,field_sales,qr_static,Bihar,21,False,True,0.265,2026-05,False
MID100106,grocery,tier_2,partner_bank,qr_static,Bihar,0,False,True,0.5277,2024-08,False
MID100107,restaurant,tier_2,referral,pos,Bihar,-1,True,False,0.5799,2024-08,True
MID100108,kirana,tier_2,partner_bank,qr_static,Kerala,-20,True,False,0.4826,2024-08,True
MID100109,fuel,tier_2,field_sales,qr_dynamic,Rajasthan,-2,False,True,0.4813,2024-08,True
MID100110,salon,tier_1,field_sales,qr_static,Kerala,6,False,False,0.893,2025-02,False
MID100111,pharmacy,tier_2,partner_bank,soundbox,Telangana,0,False,False,0.6197,2024-08,False
MID100112,kirana,tier_3,partner_bank,soundbox,Gujarat,-5,False,False,0.3617,2024-08,True
MID100113,kirana,tier_1,self_serve,soundbox,Bihar,-7,True,False,0.8662,2024-08,True
MID100114,kirana,tier_2,referral,soundbox,Bihar,12,False,False,0.5521,2025-08,False
MID100115,grocery,tier_2,field_sales,qr_static,Karnataka,6,True,False,0.5385,2025-02,False
MID100116,kirana,tier_3,self_serve,soundbox,Maharashtra,-5,False,False,0.3299,2024-08,True
MID100117,kirana,tier_3,field_sales,qr_dynamic,Gujarat,-19,False,False,0.3316,2024-08,True
MID100118,kirana,tier_2,field_sales,soundbox,Andhra Pradesh,-11,False,True,0.594,2024-08,True
MID100119,grocery,tier_1,self_serve,soundbox,Gujarat,-10,True,True,0.6859,2024-08,True
MID100120,pharmacy,tier_2,field_sales,soundbox,Karnataka,19,True,False,0.4679,2026-03,False
MID100121,restaurant,tier_3,partner_bank,soundbox,Assam,-6,False,False,0.3972,2024-08,True
MID100122,services,tier_3,field_sales,soundbox,Karnataka,16,False,True,0.241,2025-12,False
MID100123,salon,tier_1,field_sales,soundbox,Uttar Pradesh,-20,True,True,0.7382,2024-08,True
MID100124,grocery,tier_2,field_sales,soundbox,Uttar Pradesh,-19,False,False,0.7284,2024-08,True
MID100125,pharmacy,tier_1,self_serve,qr_static,Punjab,7,True,False,0.6707,2025-03,False
MID100126,fuel,tier_3,field_sales,soundbox,Bihar,10,True,False,0.1504,2025-06,False
MID100127,restaurant,tier_2,field_sales,pos,Bihar,12,False,False,0.5108,2025-08,False
MID100128,kirana,tier_3,field_sales,pos,Uttar Pradesh,7,False,False,0.3966,2025-03,False
MID100129,restaurant,tier_2,field_sales,soundbox,Tamil Nadu,8,True,False,0.5872,2025-04,False
MID100130,kirana,tier_2,field_sales,qr_dynamic,Maharashtra,-18,False,False,0.5376,2024-08,True
MID100131,apparel,tier_3,self_serve,soundbox,Assam,21,False,False,0.3248,2026-05,False
MID100132,restaurant,tier_2,referral,soundbox,Maharashtra,-14,True,False,0.5826,2024-08,True
MID100133,salon,tier_3,self_serve,qr_dynamic,Uttar Pradesh,-21,False,False,0.3216,2024-08,True
MID100134,fuel,tier_1,field_sales,qr_static,Karnataka,-23,True,False,0.7461,2024-08,True
MID100135,salon,tier_3,referral,qr_dynamic,Odisha,-15,False,False,0.2152,2024-08,True
MID100136,restaurant,tier_2,referral,soundbox,Tamil Nadu,1,True,False,0.4745,2024-09,False
MID100137,kirana,tier_2,referral,qr_static,Tamil Nadu,-17,True,False,0.6009,2024-08,True
MID100138,restaurant,tier_3,partner_bank,qr_static,Bihar,20,False,False,0.2351,2026-04,False
MID100139,fuel,tier_3,field_sales,qr_dynamic,Bihar,-14,True,False,0.3249,2024-08,True
MID100140,restaurant,tier_2,self_serve,qr_static,West Bengal,8,True,False,0.5638,2025-04,False
MID100141,pharmacy,tier_2,referral,qr_static,Maharashtra,17,False,True,0.5097,2026-01,False
MID100142,restaurant,tier_3,partner_bank,soundbox,Madhya Pradesh,4,False,False,0.2697,2024-12,False
MID100143,salon,tier_3,partner_bank,qr_static,Uttar Pradesh,-16,False,False,0.2371,2024-08,True
MID100144,salon,tier_3,partner_bank,qr_static,Gujarat,-7,False,False,0.3716,2024-08,True
MID100145,restaurant,tier_3,referral,soundbox,Andhra Pradesh,-9,False,False,0.4517,2024-08,True
MID100146,restaurant,tier_2,self_serve,qr_static,Haryana,3,True,False,0.5522,2024-11,False
MID100147,restaurant,tier_2,self_serve,soundbox,Odisha,20,True,False,0.5154,2026-04,False
MID100148,kirana,tier_2,self_serve,soundbox,Odisha,6,False,True,0.5732,2025-02,False
MID100149,services,tier_2,referral,qr_dynamic,Rajasthan,7,False,False,0.5118,2025-03,False
MID100150,kirana,tier_2,referral,soundbox,Punjab,-25,False,True,0.5993,2024-08,True
MID100151,fuel,tier_3,field_sales,qr_static,Uttar Pradesh,-9,False,False,0.3198,2024-08,True
MID100152,pharmacy,tier_3,self_serve,soundbox,Uttar Pradesh,4,True,False,0.3547,2024-12,False
MID100153,grocery,tier_1,field_sales,soundbox,Assam,-27,True,False,0.6428,2024-08,True
MID100154,electronics,tier_3,referral,qr_dynamic,Karnataka,13,False,False,0.131,2025-09,False
MID100155,grocery,tier_2,referral,soundbox,Andhra Pradesh,12,False,False,0.6713,2025-08,False
MID100156,grocery,tier_3,referral,qr_static,Uttar Pradesh,-15,False,False,0.2665,2024-08,True
MID100157,restaurant,tier_2,self_serve,pos,Rajasthan,9,False,False,0.6108,2025-05,False
MID100158,kirana,tier_2,partner_bank,qr_static,Odisha,-20,True,False,0.6772,2024-08,True
MID100159,electronics,tier_3,referral,qr_static,Maharashtra,1,True,False,0.1494,2024-09,False
MID100160,kirana,tier_3,field_sales,qr_static,Kerala,8,False,False,0.1875,2025-04,False
MID100161,kirana,tier_3,field_sales,qr_dynamic,Telangana,-4,True,False,0.2862,2024-08,True
MID100162,restaurant,tier_3,field_sales,soundbox,Gujarat,21,False,False,0.3559,2026-05,False
MID100163,services,tier_2,field_sales,qr_static,Karnataka,-12,True,False,0.6675,2024-08,True
MID100164,services,tier_3,partner_bank,qr_static,West Bengal,11,True,False,0.2814,2025-07,False
MID100165,kirana,tier_3,field_sales,qr_static,Uttar Pradesh,-29,False,False,0.3271,2024-08,True
MID100166,restaurant,tier_3,field_sales,pos,Tamil Nadu,-26,True,False,0.4959,2024-08,True
MID100167,kirana,tier_3,self_serve,qr_static,Assam,-27,False,False,0.3356,2024-08,True
MID100168,fuel,tier_2,field_sales,soundbox,Telangana,-24,True,False,0.6368,2024-08,True
MID100169,fuel,tier_3,referral,qr_static,Andhra Pradesh,16,False,False,0.3782,2025-12,False
MID100170,kirana,tier_3,referral,qr_dynamic,Assam,-8,True,False,0.2477,2024-08,True
MID100171,fuel,tier_3,field_sales,qr_static,Telangana,-8,True,False,0.2589,2024-08,True
MID100172,restaurant,tier_1,field_sales,soundbox,Gujarat,5,True,False,0.7295,2025-01,False
MID100173,salon,tier_3,referral,qr_dynamic,Andhra Pradesh,20,True,True,0.3692,2026-04,False
MID100174,kirana,tier_3,partner_bank,soundbox,Maharashtra,16,False,True,0.4837,2025-12,False
MID100175,kirana,tier_1,field_sales,soundbox,Tamil Nadu,0,False,False,0.9718,2024-08,False
MID100176,salon,tier_1,self_serve,qr_static,Odisha,14,True,False,0.7397,2025-10,False
MID100177,restaurant,tier_2,referral,qr_static,Uttar Pradesh,-4,True,False,0.7409,2024-08,True
MID100178,restaurant,tier_3,self_serve,qr_dynamic,Gujarat,-27,False,False,0.2417,2024-08,True
MID100179,apparel,tier_3,field_sales,qr_static,Gujarat,-19,True,False,0.2603,2024-08,True
MID100180,electronics,tier_1,field_sales,soundbox,Gujarat,-14,False,False,0.9122,2024-08,True
MID100181,kirana,tier_1,referral,qr_static,Uttar Pradesh,-2,True,False,0.813,2024-08,True
MID100182,pharmacy,tier_3,field_sales,qr_dynamic,Andhra Pradesh,0,False,False,0.2365,2024-08,False
MID100183,grocery,tier_3,self_serve,qr_dynamic,Maharashtra,-23,False,False,0.2625,2024-08,True
MID100184,kirana,tier_3,self_serve,soundbox,Uttar Pradesh,-13,False,False,0.429,2024-08,True
MID100185,kirana,tier_3,referral,soundbox,Rajasthan,-13,False,False,0.2447,2024-08,True
