txn_id,merchant_id,txn_ts,amount_inr,issuer_bank,status,failure_reason
0,MID100001,2024-08-13 10:20:50,522.55,HDFC,SUCCESS,
1,MID100001,2024-08-09 11:21:49,624.29,HDFC,SUCCESS,
2,MID100001,2024-08-07 19:38:36,908.86,SBI,SUCCESS,
3,MID100001,2024-08-26 19:20:31,76.31,ICICI,SUCCESS,
4,MID100001,2024-08-01 14:56:30,241.99,AXIS,SUCCESS,
5,MID100001,2024-08-25 11:05:47,233.16,KOTAK,SUCCESS,
6,MID100001,2024-08-12 19:56:00,420.53,PNB,SUCCESS,
7,MID100001,2024-08-25 15:33:41,547.12,PNB,SUCCESS,
8,MID100001,2024-08-13 19:16:22,869.33,PNB,SUCCESS,
9,MID100001,2024-08-05 12:08:18,264.97,CANARA,SUCCESS,
10,MID100001,2024-08-03 03:45:34,904.47,CANARA,SUCCESS,
11,MID100001,2024-08-01 18:57:23,245.65,CANARA,FAILED,ISSUER_DOWN
12,MID100002,2024-08-11 16:04:39,126.44,HDFC,SUCCESS,
13,MID100002,2024-08-28 18:31:53,74.22,HDFC,SUCCESS,
14,MID100002,2024-08-18 08:39:29,76.24,HDFC,SUCCESS,
15,MID100002,2024-08-25 03:08:22,157.61,HDFC,SUCCESS,
16,MID100002,2024-08-16 09:49:19,127.9,HDFC,SUCCESS,
17,MID100002,2024-08-07 13:40:41,30.77,HDFC,SUCCESS,
18,MID100002,2024-08-02 17:24:55,33.12,HDFC,SUCCESS,
19,MID100002,2024-08-19 11:46:25,101.85,HDFC,SUCCESS,
20,MID100002,2024-08-03 11:49:55,28.25,HDFC,SUCCESS,
21,MID100002,2024-08-20 21:30:36,85.27,HDFC,SUCCESS,
22,MID100002,2024-08-25 08:11:59,44.45,HDFC,SUCCESS,
23,MID100002,2024-08-12 08:47:02,94.85,HDFC,SUCCESS,
24,MID100002,2024-08-02 17:39:12,141.86,HDFC,SUCCESS,
25,MID100002,2024-08-12 07:06:57,109.14,HDFC,SUCCESS,
26,MID100002,2024-08-15 19:51:04,196.34,HDFC,SUCCESS,
27,MID100002,2024-08-29 19:30:11,326.25,HDFC,SUCCESS,
28,MID100002,2024-08-18 19:51:20,105.75,HDFC,SUCCESS,
29,MID100002,2024-08-07 15:54:38,89.53,HDFC,SUCCESS,
30,MID100002,2024-08-03 08:23:19,60.67,HDFC,SUCCESS,
31,MID100002,2024-08-28 20:48:24,38.53,HDFC,SUCCESS,
32,MID100002,2024-08-02 13:30:33,70.76,HDFC,SUCCESS,
33,MID100002,2024-08-24 15:47:55,144.1,HDFC,SUCCESS,
34,MID100002,2024-08-01 15:27:58,86.5,HDFC,SUCCESS,
35,MID100002,2024-08-12 19:23:24,39.42,HDFC,SUCCESS,
36,MID100002,2024-08-10 13:27:55,372.79,HDFC,SUCCESS,
37,MID100002,2024-08-04 19:30:58,87.94,HDFC,SUCCESS,
38,MID100002,2024-08-10 17:13:04,136.86,HDFC,SUCCESS,
39,MID100002,2024-08-05 12:50:15,258.6,HDFC,SUCCESS,
40,MID100002,2024-08-03 19:57:24,173.86,HDFC,SUCCESS,
41,MID100002,2024-08-12 18:48:51,79.62,HDFC,SUCCESS,
42,MID100002,2024-08-19 22:37:17,89.93,HDFC,SUCCESS,
43,MID100002,2024-08-08 19:52:04,70.34,HDFC,SUCCESS,
44,MID100002,2024-08-09 16:23:33,264.11,HDFC,SUCCESS,
45,MID100002,2024-08-27 12:14:34,215.66,HDFC,SUCCESS,
46,MID100002,2024-08-17 10:51:53,124.42,HDFC,SUCCESS,
47,MID100002,2024-08-22 19:44:51,255.99,HDFC,SUCCESS,
48,MID100002,2024-08-02 16:35:01,89.39,HDFC,SUCCESS,
49,MID100002,2024-08-26 18:51:29,8.99,HDFC,SUCCESS,
50,MID100002,2024-08-17 12:47:43,124.58,SBI,SUCCESS,
51,MID100002,2024-08-16 09:42:08,220.15,SBI,SUCCESS,
52,MID100002,2024-08-21 14:45:28,38.4,SBI,SUCCESS,
53,MID100002,2024-08-21 06:38:19,474.23,ICICI,FAILED,INSUFFICIENT_FUNDS
54,MID100002,2024-08-03 10:01:07,21.33,ICICI,SUCCESS,
55,MID100002,2024-08-23 11:55:58,56.33,ICICI,SUCCESS,
56,MID100002,2024-08-11 08:13:12,51.31,ICICI,SUCCESS,
57,MID100002,2024-08-11 06:58:04,96.06,ICICI,SUCCESS,
58,MID100002,2024-08-25 16:17:32,105.01,ICICI,SUCCESS,
59,MID100002,2024-08-19 09:09:20,49.21,ICICI,SUCCESS,
60,MID100002,2024-08-15 17:21:12,126.16,ICICI,SUCCESS,
61,MID100002,2024-08-27 06:13:28,172.04,ICICI,SUCCESS,
62,MID100002,2024-08-19 12:37:21,41.54,ICICI,SUCCESS,
63,MID100002,2024-08-09 07:45:53,228.57,ICICI,SUCCESS,
64,MID100002,2024-08-26 07:25:18,89.66,ICICI,SUCCESS,
65,MID100002,2024-08-10 14:53:31,35.92,ICICI,FAILED,INCORRECT_PIN
66,MID100002,2024-08-05 11:16:43,257.0,ICICI,SUCCESS,
67,MID100002,2024-08-29 16:14:57,50.63,AXIS,SUCCESS,
68,MID100002,2024-08-19 14:16:25,142.48,AXIS,SUCCESS,
69,MID100002,2024-08-18 13:00:09,73.86,KOTAK,SUCCESS,
70,MID100002,2024-08-27 15:44:14,19.86,KOTAK,SUCCESS,
71,MID100002,2024-08-01 20:33:51,984.68,KOTAK,SUCCESS,
72,MID100002,2024-08-24 14:24:38,212.13,PNB,SUCCESS,
73,MID100002,2024-08-05 08:07:13,271.58,PNB,SUCCESS,
74,MID100002,2024-08-01 11:56:04,108.9,PNB,SUCCESS,
75,MID100002,2024-08-05 16:56:18,79.16,PNB,SUCCESS,
76,MID100002,2024-08-24 11:33:11,200.69,PNB,SUCCESS,
77,MID100002,2024-08-11 11:04:54,64.59,PNB,FAILED,ISSUER_DOWN
78,MID100002,2024-08-19 05:42:49,83.12,PNB,SUCCESS,
79,MID100002,2024-08-19 08:08:24,263.77,BOB,SUCCESS,
80,MID100002,2024-08-23 21:48:06,38.66,CANARA,SUCCESS,
81,MID100002,2024-08-04 19:47:27,146.86,CANARA,SUCCESS,
82,MID100002,2024-08-24 10:48:07,317.56,UNION,SUCCESS,
83,MID100002,2024-08-17 09:23:15,542.17,UNION,SUCCESS,
84,MID100002,2024-08-24 16:56:58,318.07,UNION,SUCCESS,
85,MID100002,2024-08-26 18:07:36,108.8,UNION,SUCCESS,
86,MID100002,2024-08-31 15:11:17,125.86,UNION,SUCCESS,
87,MID100002,2024-08-12 10:25:38,116.41,UNION,SUCCESS,
88,MID100002,2024-08-11 14:04:45,124.34,UNION,SUCCESS,
89,MID100002,2024-08-07 13:07:55,222.45,UNION,SUCCESS,
90,MID100002,2024-08-03 13:34:53,47.68,UNION,SUCCESS,
91,MID100002,2024-08-01 08:42:33,159.04,UNION,SUCCESS,
92,MID100002,2024-08-13 16:53:25,83.54,UNION,SUCCESS,
93,MID100002,2024-08-17 07:15:13,62.08,UNION,SUCCESS,
94,MID100002,2024-08-21 23:42:44,35.98,YES,SUCCESS,
95,MID100002,2024-08-04 12:02:34,251.8,IDFC,SUCCESS,
96,MID100002,2024-08-09 15:49:26,38.59,IDFC,SUCCESS,
97,MID100002,2024-08-05 17:07:39,196.16,RRB_GRAMIN,SUCCESS,
98,MID100002,2024-08-12 17:11:58,168.71,RRB_GRAMIN,SUCCESS,
99,MID100004,2024-08-20 13:00:12,144.11,HDFC,SUCCESS,
100,MID100004,2024-08-27 19:34:48,217.73,HDFC,SUCCESS,
101,MID100004,2024-08-28 10:28:21,546.22,HDFC,SUCCESS,
102,MID100004,2024-08-03 18:07:37,130.56,HDFC,SUCCESS,
103,MID100004,2024-08-03 18:44:55,365.13,HDFC,SUCCESS,
104,MID100004,2024-08-13 18:48:10,101.4,HDFC,FAILED,INSUFFICIENT_FUNDS
105,MID100004,2024-08-08 20:59:04,328.73,HDFC,SUCCESS,
106,MID100004,2024-08-12 20:19:18,355.84,HDFC,SUCCESS,
107,MID100004,2024-08-19 20:12:39,100.37,HDFC,SUCCESS,
108,MID100004,2024-08-16 19:25:15,172.04,HDFC,SUCCESS,
109,MID100004,2024-08-02 22:42:18,122.44,HDFC,SUCCESS,
110,MID100004,2024-08-07 10:46:26,507.42,HDFC,SUCCESS,
111,MID100004,2024-08-27 17:14:39,380.96,HDFC,SUCCESS,
112,MID100004,2024-08-11 13:22:43,317.12,HDFC,SUCCESS,
113,MID100004,2024-08-09 12:59:13,193.49,HDFC,SUCCESS,
114,MID100004,2024-08-09 18:15:41,299.1,HDFC,SUCCESS,
115,MID100004,2024-08-18 17:25:31,493.58,HDFC,SUCCESS,
116,MID100004,2024-08-25 19:30:51,568.61,HDFC,SUCCESS,
117,MID100004,2024-08-12 08:32:09,112.67,HDFC,SUCCESS,
118,MID100004,2024-08-19 21:41:06,285.84,HDFC,SUCCESS,
119,MID100004,2024-08-09 15:28:58,48.25,SBI,SUCCESS,
120,MID100004,2024-08-16 18:04:44,210.39,SBI,SUCCESS,
121,MID100004,2024-08-29 19:40:14,188.15,SBI,SUCCESS,
122,MID100004,2024-08-17 11:09:36,1002.78,SBI,SUCCESS,
123,MID100004,2024-08-23 16:33:32,101.7,SBI,SUCCESS,
124,MID100004,2024-08-23 08:57:15,230.42,SBI,SUCCESS,
125,MID100004,2024-08-24 20:15:34,276.62,ICICI,SUCCESS,
126,MID100004,2024-08-28 21:09:58,176.46,ICICI,SUCCESS,
127,MID100004,2024-08-10 15:09:51,1013.26,ICICI,SUCCESS,
128,MID100004,2024-08-17 10:43:16,241.85,ICICI,SUCCESS,
129,MID100004,2024-08-11 19:08:23,29.91,ICICI,FAILED,ISSUER_DOWN
130,MID100004,2024-08-11 19:05:40,203.31,AXIS,SUCCESS,
131,MID100004,2024-08-09 20:15:41,561.56,AXIS,SUCCESS,
132,MID100004,2024-08-25 20:37:37,104.79,AXIS,SUCCESS,
133,MID100004,2024-08-11 18:36:26,489.28,AXIS,SUCCESS,
134,MID100004,2024-08-24 09:33:26,786.36,AXIS,SUCCESS,
135,MID100004,2024-08-14 20:31:45,97.59,AXIS,SUCCESS,
136,MID100004,2024-08-18 10:53:11,116.77,AXIS,SUCCESS,
137,MID100004,2024-08-16 20:52:24,415.03,AXIS,SUCCESS,
138,MID100004,2024-08-04 20:28:36,240.05,AXIS,SUCCESS,
139,MID100004,2024-08-14 22:58:12,110.63,AXIS,SUCCESS,
140,MID100004,2024-08-24 21:41:23,44.3,AXIS,SUCCESS,
141,MID100004,2024-08-28 21:14:27,394.07,AXIS,SUCCESS,
142,MID100004,2024-08-21 18:58:57,418.51,KOTAK,SUCCESS,
143,MID100004,2024-08-04 12:39:37,397.83,KOTAK,SUCCESS,
144,MID100004,2024-08-27 19:33:37,165.17,PNB,SUCCESS,
145,MID100004,2024-08-13 21:39:57,357.5,PNB,SUCCESS,
146,MID100004,2024-08-07 10:11:09,600.16,PNB,SUCCESS,
147,MID100004,2024-08-23 11:33:08,119.41,PNB,SUCCESS,
148,MID100004,2024-08-05 11:15:55,85.61,PNB,SUCCESS,
149,MID100004,2024-08-26 18:24:03,113.06,PNB,SUCCESS,
150,MID100004,2024-08-20 10:08:52,203.57,PNB,SUCCESS,
151,MID100004,2024-08-15 13:11:40,81.81,PNB,FAILED,INSUFFICIENT_FUNDS
152,MID100004,2024-08-25 20:34:58,201.33,PNB,SUCCESS,
153,MID100004,2024-08-31 07:52:19,257.67,PNB,SUCCESS,
154,MID100004,2024-08-10 20:15:26,176.41,PNB,FAILED,INSUFFICIENT_FUNDS
155,MID100004,2024-08-31 13:41:27,1638.34,PNB,SUCCESS,
156,MID100004,2024-08-06 19:20:32,48.79,PNB,SUCCESS,
157,MID100004,2024-08-14 17:28:25,149.29,PNB,FAILED,INCORRECT_PIN
158,MID100004,2024-08-02 10:58:44,248.86,PNB,SUCCESS,
159,MID100004,2024-08-08 00:52:37,457.92,PNB,FAILED,TECHNICAL_DECLINE
160,MID100004,2024-08-11 21:21:32,355.85,PNB,SUCCESS,
161,MID100004,2024-08-23 18:09:18,125.38,PNB,SUCCESS,
162,MID100004,2024-08-11 19:10:28,119.76,PNB,SUCCESS,
163,MID100004,2024-08-08 19:55:06,347.33,PNB,SUCCESS,
164,MID100004,2024-08-02 07:24:13,50.23,PNB,SUCCESS,
165,MID100004,2024-08-25 15:30:48,446.13,PNB,SUCCESS,
166,MID100004,2024-08-10 16:34:30,194.3,CANARA,SUCCESS,
167,MID100004,2024-08-30 14:23:18,181.31,CANARA,SUCCESS,
168,MID100004,2024-08-23 17:15:18,272.78,IDFC,SUCCESS,
169,MID100005,2024-08-02 16:32:54,141.62,HDFC,SUCCESS,
170,MID100005,2024-08-10 16:27:56,209.07,HDFC,SUCCESS,
171,MID100005,2024-08-13 08:06:15,72.9,HDFC,SUCCESS,
172,MID100005,2024-08-11 06:15:16,88.7,HDFC,SUCCESS,
173,MID100005,2024-08-04 19:41:02,86.45,HDFC,SUCCESS,
174,MID100005,2024-08-01 17:12:38,151.81,HDFC,SUCCESS,
175,MID100005,2024-08-17 08:04:24,189.68,HDFC,SUCCESS,
176,MID100005,2024-08-27 07:34:14,105.02,HDFC,SUCCESS,
177,MID100005,2024-08-19 19:10:36,53.9,HDFC,SUCCESS,
178,MID100005,2024-08-13 18:54:31,147.82,HDFC,SUCCESS,
179,MID100005,2024-08-03 05:41:38,99.39,HDFC,SUCCESS,
180,MID100005,2024-08-28 19:32:37,61.87,HDFC,SUCCESS,
181,MID100005,2024-08-21 03:08:58,256.14,SBI,SUCCESS,
182,MID100005,2024-08-22 16:51:51,44.1,SBI,SUCCESS,
183,MID100005,2024-08-02 11:35:50,103.24,SBI,FAILED,TIMEOUT
184,MID100005,2024-08-25 18:11:03,60.59,SBI,SUCCESS,
185,MID100005,2024-08-08 07:42:29,139.35,SBI,SUCCESS,
186,MID100005,2024-08-11 08:13:22,98.66,SBI,SUCCESS,
187,MID100005,2024-08-24 19:08:27,248.03,SBI,SUCCESS,
188,MID100005,2024-08-17 13:16:15,103.2,ICICI,SUCCESS,
189,MID100005,2024-08-17 18:16:52,98.76,ICICI,SUCCESS,
190,MID100005,2024-08-17 13:36:19,25.24,KOTAK,SUCCESS,
191,MID100005,2024-08-31 15:00:40,191.59,KOTAK,SUCCESS,
192,MID100005,2024-08-31 16:43:35,33.46,CANARA,SUCCESS,
193,MID100005,2024-08-12 16:05:36,78.83,CANARA,SUCCESS,
194,MID100005,2024-08-21 11:26:44,143.07,CANARA,SUCCESS,
195,MID100005,2024-08-31 11:14:18,37.24,UNION,SUCCESS,
196,MID100005,2024-08-11 19:46:36,82.13,UNION,SUCCESS,
197,MID100005,2024-08-24 18:25:43,186.46,UNION,SUCCESS,
198,MID100005,2024-08-10 09:06:48,465.14,UNION,SUCCESS,
199,MID100005,2024-08-14 10:24:52,133.2,UNION,FAILED,TECHNICAL_DECLINE
