month,issuer_bank,attempted_txns,successful_txns,success_rate,attempted_value_inr,failed_value_inr,volume_share
2024-08-01,AU_SFB,3358.0,3119.0,0.928827,1357381.27,95976.15,0.023725
2024-08-01,AXIS,13033.0,12324.0,0.9456,4720669.95,311507.57,0.092079
2024-08-01,BOB,7973.0,7271.0,0.911953,3019622.41,299701.56,0.05633
2024-08-01,CANARA,7142.0,6458.0,0.904229,2691905.57,261025.59,0.050459
2024-08-01,HDFC,20638.0,19793.0,0.959056,7586722.23,360671.86,0.145809
2024-08-01,ICICI,15780.0,15101.0,0.956971,6052279.34,297337.89,0.111487
2024-08-01,IDFC,4327.0,4077.0,0.942223,1703648.56,97218.95,0.030571
2024-08-01,KOTAK,8437.0,8002.0,0.948441,3157872.09,198282.81,0.059608
2024-08-01,PAYTM_PB,3735.0,3486.0,0.933333,1442587.15,125591.22,0.026388
2024-08-01,PNB,10669.0,9661.0,0.905521,4022616.77,428263.12,0.075377
2024-08-01,RRB_GRAMIN,6706.0,5820.0,0.86788,2374604.01,323415.13,0.047378
2024-08-01,SBI,27714.0,25439.0,0.917912,9965658.48,976856.12,0.195802
2024-08-01,UNION,6624.0,5925.0,0.894475,2434055.21,295479.18,0.046799
2024-08-01,YES,5405.0,5093.0,0.942276,2095470.76,175768.69,0.038187
2024-09-01,AU_SFB,4368.0,4084.0,0.934982,1622242.82,105193.9,0.02371
2024-09-01,AXIS,17196.0,16288.0,0.947197,6229727.63,353542.39,0.093343
2024-09-01,BOB,10382.0,9439.0,0.90917,3794880.11,361467.59,0.056355
2024-09-01,CANARA,9078.0,8219.0,0.905376,3285497.52,327382.07,0.049277
2024-09-01,HDFC,27178.0,26049.0,0.958459,9839879.68,515771.22,0.147527
2024-09-01,ICICI,20769.0,19852.0,0.955848,7500460.56,363092.68,0.112738
2024-09-01,IDFC,5482.0,5188.0,0.94637,2087567.43,104642.07,0.029757
2024-09-01,KOTAK,10962.0,10487.0,0.956668,3998904.05,204880.46,0.059504
2024-09-01,PAYTM_PB,4764.0,4494.0,0.943325,1786310.33,112474.83,0.02586
2024-09-01,PNB,14120.0,12828.0,0.908499,5270940.34,518712.71,0.076646
2024-09-01,RRB_GRAMIN,8677.0,7535.0,0.868388,3094949.63,445430.43,0.0471
2024-09-01,SBI,35796.0,32889.0,0.91879,12840495.76,1114344.65,0.194307
2024-09-01,UNION,8538.0,7708.0,0.902788,2983385.79,305398.43,0.046346
2024-09-01,YES,6914.0,6484.0,0.937807,2513388.58,173840.67,0.03753
2024-10-01,AU_SFB,5789.0,5366.0,0.92693,2206235.97,184372.35,0.022706
2024-10-01,AXIS,23671.0,22446.0,0.948249,8592444.63,501603.21,0.092845
2024-10-01,BOB,14376.0,13108.0,0.911797,5440538.87,495288.92,0.056387
2024-10-01,CANARA,13089.0,11857.0,0.905875,4793274.12,464952.51,0.051339
2024-10-01,HDFC,37763.0,36256.0,0.960093,14167731.67,685352.68,0.148117
2024-10-01,ICICI,28807.0,27518.0,0.955254,10764790.91,551186.24,0.112989
2024-10-01,IDFC,7585.0,7195.0,0.948583,3116344.6,170407.22,0.029751
2024-10-01,KOTAK,15205.0,14485.0,0.952647,5452926.87,282937.63,0.059638
2024-10-01,PAYTM_PB,6895.0,6479.0,0.939666,2693327.24,160939.06,0.027044
2024-10-01,PNB,19439.0,17577.0,0.904213,7164271.4,805756.62,0.076245
2024-10-01,RRB_GRAMIN,11920.0,10316.0,0.865436,4191969.68,587013.55,0.046754
2024-10-01,SBI,49175.0,45060.0,0.916319,17654591.6,1536721.93,0.192879
2024-10-01,UNION,11688.0,10500.0,0.898357,4240147.51,429922.54,0.045844
2024-10-01,YES,9551.0,8967.0,0.938855,3622379.26,221144.69,0.037462
2024-11-01,AU_SFB,6326.0,5873.0,0.928391,2216638.01,173527.15,0.023328
2024-11-01,AXIS,25428.0,24116.0,0.948403,9122445.21,556605.65,0.093771
2024-11-01,BOB,15392.0,14019.0,0.910798,5632694.91,537398.33,0.056761
2024-11-01,CANARA,13423.0,12173.0,0.906876,4692921.68,425692.91,0.0495
2024-11-01,HDFC,40276.0,38658.0,0.959827,14274202.0,661732.45,0.148526
2024-11-01,ICICI,30463.0,29127.0,0.956144,10825501.87,501473.32,0.112339
2024-11-01,IDFC,8023.0,7566.0,0.943039,2927384.09,167497.27,0.029586
2024-11-01,KOTAK,16274.0,15505.0,0.952747,5807664.45,346199.69,0.060014
2024-11-01,PAYTM_PB,7149.0,6650.0,0.9302,2688743.72,188155.92,0.026363
2024-11-01,PNB,21079.0,19040.0,0.903269,7663097.2,836445.83,0.077733
2024-11-01,RRB_GRAMIN,12584.0,10876.0,0.864272,4230650.77,572097.85,0.046406
2024-11-01,SBI,52283.0,47954.0,0.917201,18317768.94,1644414.91,0.192805
2024-11-01,UNION,12262.0,11090.0,0.90442,4359461.06,454159.83,0.045219
2024-11-01,YES,10209.0,9579.0,0.93829,3905923.68,244495.32,0.037648
2024-12-01,AU_SFB,6185.0,5759.0,0.931124,2217639.59,159318.81,0.022844
2024-12-01,AXIS,24858.0,23489.0,0.944927,8805000.5,594765.18,0.091813
2024-12-01,BOB,15449.0,14070.0,0.910739,5913239.59,581639.37,0.057061
2024-12-01,CANARA,13503.0,12281.0,0.909502,4833778.34,506900.28,0.049873
2024-12-01,HDFC,40387.0,38727.0,0.958898,14316701.27,661494.72,0.149169
2024-12-01,ICICI,30121.0,28800.0,0.956144,10606876.26,503801.63,0.111252
2024-12-01,IDFC,8093.0,7701.0,0.951563,2940599.57,150192.95,0.029891
2024-12-01,KOTAK,16174.0,15429.0,0.953938,5828991.07,310436.23,0.059739
2024-12-01,PAYTM_PB,7199.0,6746.0,0.937075,2648618.39,206051.38,0.026589
2024-12-01,PNB,20653.0,18589.0,0.900063,7390933.18,847694.7,0.076282
2024-12-01,RRB_GRAMIN,12736.0,11016.0,0.86495,4267384.86,562342.07,0.04704
2024-12-01,SBI,52324.0,48006.0,0.917476,17972294.02,1652221.6,0.193259
2024-12-01,UNION,12576.0,11389.0,0.905614,4317862.9,403161.9,0.046449
2024-12-01,YES,10488.0,9834.0,0.937643,3757552.69,233706.41,0.038737
2025-01-01,AU_SFB,5757.0,5322.0,0.92444,1992615.96,137602.65,0.022804
2025-01-01,AXIS,23059.0,21828.0,0.946615,8035823.86,468354.57,0.09134
2025-01-01,BOB,14289.0,12994.0,0.909371,5397707.2,561068.62,0.056601
2025-01-01,CANARA,12695.0,11506.0,0.906341,4581725.0,445132.39,0.050287
2025-01-01,HDFC,37480.0,35878.0,0.957257,13292326.4,690884.37,0.148464
2025-01-01,ICICI,28556.0,27300.0,0.956016,10061224.28,513522.77,0.113115
2025-01-01,IDFC,7711.0,7320.0,0.949293,2682364.73,159818.81,0.030545
2025-01-01,KOTAK,15138.0,14387.0,0.95039,5301656.63,280779.09,0.059964
2025-01-01,PAYTM_PB,6938.0,6483.0,0.934419,2585344.93,175152.63,0.027483
2025-01-01,PNB,19423.0,17644.0,0.908408,6909403.01,640080.17,0.076938
2025-01-01,RRB_GRAMIN,11778.0,10255.0,0.870691,3859597.37,507690.49,0.046655
2025-01-01,SBI,48529.0,44625.0,0.919553,16482055.48,1441088.09,0.192231
2025-01-01,UNION,11600.0,10381.0,0.894914,3936030.49,438143.13,0.04595
2025-01-01,YES,9498.0,8927.0,0.939882,3398855.24,216076.7,0.037623
2025-02-01,AU_SFB,5889.0,5442.0,0.924096,2066942.13,183492.18,0.023202
2025-02-01,AXIS,23753.0,22473.0,0.946112,8341344.66,533782.52,0.093585
2025-02-01,BOB,14398.0,13102.0,0.909987,5139748.5,465495.65,0.056727
2025-02-01,CANARA,12782.0,11606.0,0.907996,4577363.62,431720.05,0.05036
2025-02-01,HDFC,37924.0,36357.0,0.958681,13371907.99,657253.81,0.149418
2025-02-01,ICICI,28416.0,27097.0,0.953582,10070478.15,513142.65,0.111957
2025-02-01,IDFC,7641.0,7276.0,0.952231,2635954.77,148056.53,0.030105
2025-02-01,KOTAK,15182.0,14450.0,0.951785,5280146.65,256309.16,0.059816
2025-02-01,PAYTM_PB,6732.0,6295.0,0.935086,2623523.98,175294.41,0.026524
2025-02-01,PNB,19514.0,17650.0,0.904479,6911710.14,682904.16,0.076884
2025-02-01,RRB_GRAMIN,11852.0,10279.0,0.86728,3969801.13,561405.9,0.046696
2025-02-01,SBI,48624.0,44643.0,0.918127,16607136.31,1498767.06,0.191575
2025-02-01,UNION,11677.0,10567.0,0.904941,4032331.65,389013.55,0.046006
2025-02-01,YES,9428.0,8902.0,0.944209,3327802.53,186116.28,0.037146
2025-03-01,AU_SFB,6580.0,6119.0,0.929939,2326257.74,185896.92,0.02216
2025-03-01,AXIS,27480.0,25994.0,0.945924,9654631.53,560422.09,0.092547
2025-03-01,BOB,17161.0,15572.0,0.907406,6293612.67,630329.6,0.057795
2025-03-01,CANARA,14569.0,13195.0,0.90569,5075973.38,501937.12,0.049065
2025-03-01,HDFC,44663.0,42806.0,0.958422,15904430.34,754593.94,0.150416
2025-03-01,ICICI,33922.0,32425.0,0.955869,11897249.29,572494.35,0.114242
2025-03-01,IDFC,8834.0,8368.0,0.947249,3194841.03,192687.5,0.029751
2025-03-01,KOTAK,17662.0,16832.0,0.953006,6166288.79,319574.16,0.059482
2025-03-01,PAYTM_PB,7837.0,7337.0,0.9362,2763321.17,178087.53,0.026393
2025-03-01,PNB,23007.0,20786.0,0.903464,8259623.63,811812.51,0.077483
2025-03-01,RRB_GRAMIN,13657.0,11735.0,0.859266,4466911.31,691069.26,0.045994
2025-03-01,SBI,57079.0,52316.0,0.916554,19597464.2,1731902.04,0.19223
2025-03-01,UNION,13418.0,12092.0,0.901178,4640246.94,497203.94,0.045189
2025-03-01,YES,11061.0,10409.0,0.941054,3837548.59,243114.2,0.037251
2025-04-01,AU_SFB,6676.0,6232.0,0.933493,2373609.86,147373.57,0.022922
2025-04-01,AXIS,26868.0,25452.0,0.947298,9511186.01,551375.93,0.09225
2025-04-01,BOB,16735.0,15208.0,0.908754,6241800.79,640686.02,0.057459
2025-04-01,CANARA,14388.0,13044.0,0.906589,5178905.56,531845.71,0.049401
2025-04-01,HDFC,43545.0,41790.0,0.959697,15456723.52,729999.66,0.14951
2025-04-01,ICICI,33052.0,31640.0,0.957279,11587542.79,563412.37,0.113483
2025-04-01,IDFC,8767.0,8314.0,0.948329,3121651.98,191324.06,0.030101
2025-04-01,KOTAK,17902.0,17077.0,0.953916,6253158.13,319039.97,0.061466
2025-04-01,PAYTM_PB,7711.0,7209.0,0.934898,2671142.85,179012.97,0.026475
2025-04-01,PNB,22544.0,20376.0,0.903833,8091505.08,865959.94,0.077404
2025-04-01,RRB_GRAMIN,13319.0,11382.0,0.854569,4542336.05,745876.29,0.04573
2025-04-01,SBI,55637.0,51127.0,0.918939,19103225.64,1743754.4,0.191028
2025-04-01,UNION,13026.0,11723.0,0.899969,4591678.76,481080.27,0.044724
2025-04-01,YES,11081.0,10436.0,0.941792,3895184.91,261721.19,0.038046
2025-05-01,AU_SFB,6507.0,6074.0,0.933456,2347388.04,175303.51,0.022462
2025-05-01,AXIS,26906.0,25438.0,0.94544,9401809.46,569143.79,0.092878
2025-05-01,BOB,16706.0,15209.0,0.910391,5988230.89,560022.56,0.057668
2025-05-01,CANARA,14232.0,12960.0,0.910624,5225638.28,463586.35,0.049128
2025-05-01,HDFC,43548.0,41758.0,0.958896,15745827.17,691460.78,0.150325
2025-05-01,ICICI,32538.0,31046.0,0.954146,11506986.96,577462.72,0.112319
2025-05-01,IDFC,8518.0,8057.0,0.945879,3108457.65,174789.02,0.029404
2025-05-01,KOTAK,17609.0,16806.0,0.954398,6083300.74,306050.39,0.060785
2025-05-01,PAYTM_PB,7566.0,7077.0,0.935369,2730748.57,176302.71,0.026117
2025-05-01,PNB,22595.0,20404.0,0.903032,8224172.11,881208.4,0.077997
2025-05-01,RRB_GRAMIN,13564.0,11644.0,0.858449,4420052.33,648852.33,0.046822
2025-05-01,SBI,55311.0,50815.0,0.918714,19008547.01,1652420.8,0.19093
2025-05-01,UNION,12942.0,11635.0,0.899011,4566844.04,494377.39,0.044675
2025-05-01,YES,11150.0,10491.0,0.940897,4019734.81,269824.79,0.038489
2025-06-01,AU_SFB,6156.0,5759.0,0.93551,2151284.62,140137.82,0.022136
2025-06-01,AXIS,25424.0,24043.0,0.945681,8902980.83,591825.21,0.091421
