cohort_month,cohort_size,m3_logo_retention,m3_tpv_retention
2024-08-01,3338,0.7909,1.6787
2024-09-01,174,0.7299,1.2905
2024-10-01,134,0.7836,1.2432
2024-11-01,137,0.7153,1.0361
2024-12-01,143,0.7692,1.4333
2025-01-01,127,0.7244,1.2494
2025-02-01,127,0.7953,1.3459
2025-03-01,128,0.8047,1.2399
2025-04-01,121,0.8182,1.3705
2025-05-01,127,0.7795,1.3023
2025-06-01,136,0.7426,1.2814
2025-07-01,127,0.7638,1.8234
2025-08-01,118,0.7288,1.5462
2025-09-01,109,0.7615,1.4775
2025-10-01,108,0.7222,0.8987
2025-11-01,123,0.748,1.1224
2025-12-01,108,0.7963,1.5096
2026-01-01,143,0.7762,1.2553
2026-02-01,126,0.7937,1.596
2026-03-01,108,0.8981,1.2342
2026-04-01,109,0.789,1.2586
