cohort_month,activity_month,month_index,cohort_size,active_merchants,logo_retention,tpv_inr,tpv_retention
2024-08-01,2024-08-01,0,3338,3338,1.0,48377997.96,1.0
2024-08-01,2024-09-01,1,3338,3081,0.923,60076347.98,1.2418
2024-08-01,2024-10-01,2,3338,2906,0.8706,81843175.95,1.6917
2024-08-01,2024-11-01,3,3338,2640,0.7909,81214074.02,1.6787
2024-08-01,2024-12-01,4,3338,2525,0.7564,77697189.3,1.606
2024-08-01,2025-01-01,5,3338,2509,0.7516,69401462.4,1.4346
2024-08-01,2025-02-01,6,3338,2462,0.7376,67713256.55,1.3997
2024-08-01,2025-03-01,7,3338,2453,0.7349,76632124.9,1.584
2024-08-01,2025-04-01,8,3338,2451,0.7343,73615780.97,1.5217
2024-08-01,2025-05-01,9,3338,2431,0.7283,71955060.64,1.4874
2024-08-01,2025-06-01,10,3338,2429,0.7277,66491648.92,1.3744
2024-08-01,2025-07-01,11,3338,2399,0.7187,65354980.09,1.3509
2024-08-01,2025-08-01,12,3338,2441,0.7313,67603560.3,1.3974
2024-08-01,2025-09-01,13,3338,2441,0.7313,72296204.64,1.4944
2024-08-01,2025-10-01,14,3338,2413,0.7229,85049400.6,1.758
2024-08-01,2025-11-01,15,3338,2402,0.7196,80730963.39,1.6688
2024-08-01,2025-12-01,16,3338,2375,0.7115,71702276.39,1.4821
2024-08-01,2026-01-01,17,3338,2360,0.707,64855499.77,1.3406
2024-08-01,2026-02-01,18,3338,2349,0.7037,64345863.32,1.3301
2024-08-01,2026-03-01,19,3338,2358,0.7064,74335445.07,1.5366
2024-08-01,2026-04-01,20,3338,2368,0.7094,69503755.66,1.4367
2024-08-01,2026-05-01,21,3338,2362,0.7076,69755965.54,1.4419
2024-08-01,2026-06-01,22,3338,2369,0.7097,65182259.22,1.3474
2024-08-01,2026-07-01,23,3338,2396,0.7178,63965600.28,1.3222
2024-09-01,2024-09-01,0,174,174,1.0,1766108.15,1.0
2024-09-01,2024-10-01,1,174,153,0.8793,2276316.46,1.2889
2024-09-01,2024-11-01,2,174,127,0.7299,2505222.8,1.4185
2024-09-01,2024-12-01,3,174,127,0.7299,2279114.61,1.2905
2024-09-01,2025-01-01,4,174,117,0.6724,2141770.19,1.2127
2024-09-01,2025-02-01,5,174,116,0.6667,2100009.48,1.1891
2024-09-01,2025-03-01,6,174,117,0.6724,2261864.17,1.2807
2024-09-01,2025-04-01,7,174,116,0.6667,2113352.25,1.1966
2024-09-01,2025-05-01,8,174,115,0.6609,2102599.64,1.1905
2024-09-01,2025-06-01,9,174,116,0.6667,2137977.45,1.2106
2024-09-01,2025-07-01,10,174,119,0.6839,2012190.08,1.1393
2024-09-01,2025-08-01,11,174,115,0.6609,2067593.35,1.1707
2024-09-01,2025-09-01,12,174,112,0.6437,2251730.91,1.275
2024-09-01,2025-10-01,13,174,109,0.6264,2620205.01,1.4836
2024-09-01,2025-11-01,14,174,110,0.6322,2608967.14,1.4772
2024-09-01,2025-12-01,15,174,112,0.6437,2461891.13,1.394
2024-09-01,2026-01-01,16,174,100,0.5747,2115419.61,1.1978
2024-09-01,2026-02-01,17,174,101,0.5805,1911330.8,1.0822
2024-09-01,2026-03-01,18,174,101,0.5805,2356874.56,1.3345
2024-09-01,2026-04-01,19,174,103,0.592,2205174.01,1.2486
2024-09-01,2026-05-01,20,174,106,0.6092,2170667.06,1.2291
2024-09-01,2026-06-01,21,174,99,0.569,1843335.66,1.0437
2024-09-01,2026-07-01,22,174,109,0.6264,1997333.67,1.1309
2024-10-01,2024-10-01,0,134,134,1.0,2903882.77,1.0
2024-10-01,2024-11-01,1,134,122,0.9104,3424543.87,1.1793
2024-10-01,2024-12-01,2,134,115,0.8582,3594157.46,1.2377
2024-10-01,2025-01-01,3,134,105,0.7836,3610159.23,1.2432
2024-10-01,2025-02-01,4,134,97,0.7239,3790958.0,1.3055
2024-10-01,2025-03-01,5,134,98,0.7313,4509409.44,1.5529
2024-10-01,2025-04-01,6,134,96,0.7164,4247174.51,1.4626
2024-10-01,2025-05-01,7,134,94,0.7015,4087314.93,1.4075
2024-10-01,2025-06-01,8,134,86,0.6418,3717207.0,1.2801
2024-10-01,2025-07-01,9,134,89,0.6642,3685916.3,1.2693
2024-10-01,2025-08-01,10,134,95,0.709,3674378.41,1.2653
2024-10-01,2025-09-01,11,134,89,0.6642,4016625.02,1.3832
2024-10-01,2025-10-01,12,134,93,0.694,4470906.56,1.5396
2024-10-01,2025-11-01,13,134,91,0.6791,4674460.67,1.6097
2024-10-01,2025-12-01,14,134,92,0.6866,3860448.52,1.3294
2024-10-01,2026-01-01,15,134,89,0.6642,3511781.1,1.2093
2024-10-01,2026-02-01,16,134,94,0.7015,3699790.45,1.2741
2024-10-01,2026-03-01,17,134,94,0.7015,4366417.86,1.5036
2024-10-01,2026-04-01,18,134,89,0.6642,3992103.13,1.3747
2024-10-01,2026-05-01,19,134,98,0.7313,3973789.11,1.3684
2024-10-01,2026-06-01,20,134,94,0.7015,3461587.39,1.1921
2024-10-01,2026-07-01,21,134,93,0.694,3385595.97,1.1659
2024-11-01,2024-11-01,0,137,137,1.0,2211360.47,1.0
2024-11-01,2024-12-01,1,137,121,0.8832,2213710.84,1.0011
2024-11-01,2025-01-01,2,137,115,0.8394,2242037.79,1.0139
2024-11-01,2025-02-01,3,137,98,0.7153,2291189.2,1.0361
2024-11-01,2025-03-01,4,137,95,0.6934,2898165.5,1.3106
2024-11-01,2025-04-01,5,137,94,0.6861,2851555.28,1.2895
2024-11-01,2025-05-01,6,137,95,0.6934,2849125.01,1.2884
2024-11-01,2025-06-01,7,137,98,0.7153,2653086.0,1.1998
2024-11-01,2025-07-01,8,137,97,0.708,2657670.73,1.2018
2024-11-01,2025-08-01,9,137,94,0.6861,2611779.11,1.1811
2024-11-01,2025-09-01,10,137,96,0.7007,2710645.12,1.2258
2024-11-01,2025-10-01,11,137,99,0.7226,3333842.92,1.5076
2024-11-01,2025-11-01,12,137,97,0.708,3147421.35,1.4233
2024-11-01,2025-12-01,13,137,93,0.6788,2706772.35,1.224
2024-11-01,2026-01-01,14,137,90,0.6569,2582414.26,1.1678
2024-11-01,2026-02-01,15,137,88,0.6423,2556430.16,1.156
2024-11-01,2026-03-01,16,137,86,0.6277,2851901.26,1.2897
2024-11-01,2026-04-01,17,137,94,0.6861,2817245.18,1.274
2024-11-01,2026-05-01,18,137,88,0.6423,2730359.58,1.2347
2024-11-01,2026-06-01,19,137,87,0.635,2627250.35,1.1881
2024-11-01,2026-07-01,20,137,89,0.6496,2612438.32,1.1814
2024-12-01,2024-12-01,0,143,143,1.0,2659572.79,1.0
2024-12-01,2025-01-01,1,143,129,0.9021,2964620.89,1.1147
2024-12-01,2025-02-01,2,143,119,0.8322,3181452.51,1.1962
2024-12-01,2025-03-01,3,143,110,0.7692,3811867.84,1.4333
2024-12-01,2025-04-01,4,143,106,0.7413,4077476.52,1.5331
2024-12-01,2025-05-01,5,143,113,0.7902,3802718.6,1.4298
2024-12-01,2025-06-01,6,143,108,0.7552,3296589.19,1.2395
2024-12-01,2025-07-01,7,143,106,0.7413,2974155.99,1.1183
2024-12-01,2025-08-01,8,143,107,0.7483,3205034.32,1.2051
2024-12-01,2025-09-01,9,143,107,0.7483,4111631.85,1.546
2024-12-01,2025-10-01,10,143,101,0.7063,4928653.81,1.8532
2024-12-01,2025-11-01,11,143,98,0.6853,4626986.66,1.7397
2024-12-01,2025-12-01,12,143,95,0.6643,3378550.34,1.2703
2024-12-01,2026-01-01,13,143,96,0.6713,3135685.34,1.179
2024-12-01,2026-02-01,14,143,94,0.6573,3187445.0,1.1985
2024-12-01,2026-03-01,15,143,96,0.6713,3474566.81,1.3064
2024-12-01,2026-04-01,16,143,95,0.6643,3314011.21,1.2461
2024-12-01,2026-05-01,17,143,92,0.6434,3444442.43,1.2951
2024-12-01,2026-06-01,18,143,94,0.6573,3038219.89,1.1424
2024-12-01,2026-07-01,19,143,98,0.6853,2921302.21,1.0984
2025-01-01,2025-01-01,0,127,127,1.0,1481285.6,1.0
2025-01-01,2025-02-01,1,127,110,0.8661,1452953.99,0.9809
2025-01-01,2025-03-01,2,127,102,0.8031,1803884.33,1.2178
2025-01-01,2025-04-01,3,127,92,0.7244,1850758.81,1.2494
2025-01-01,2025-05-01,4,127,90,0.7087,2012639.48,1.3587
2025-01-01,2025-06-01,5,127,87,0.685,1847352.72,1.2471
2025-01-01,2025-07-01,6,127,92,0.7244,1761053.08,1.1889
2025-01-01,2025-08-01,7,127,91,0.7165,1730706.84,1.1684
2025-01-01,2025-09-01,8,127,85,0.6693,1849018.12,1.2483
2025-01-01,2025-10-01,9,127,92,0.7244,2319825.92,1.5661
2025-01-01,2025-11-01,10,127,89,0.7008,2189193.45,1.4779
2025-01-01,2025-12-01,11,127,80,0.6299,1960569.57,1.3236
2025-01-01,2026-01-01,12,127,79,0.622,1796157.67,1.2126
2025-01-01,2026-02-01,13,127,82,0.6457,1831927.02,1.2367
2025-01-01,2026-03-01,14,127,86,0.6772,2103456.24,1.42
2025-01-01,2026-04-01,15,127,87,0.685,2092824.07,1.4128
2025-01-01,2026-05-01,16,127,91,0.7165,2085582.77,1.408
2025-01-01,2026-06-01,17,127,92,0.7244,2012799.21,1.3588
2025-01-01,2026-07-01,18,127,88,0.6929,1939847.74,1.3096
2025-02-01,2025-02-01,0,127,127,1.0,1743618.57,1.0
2025-02-01,2025-03-01,1,127,117,0.9213,2188353.95,1.2551
2025-02-01,2025-04-01,2,127,108,0.8504,2297506.71,1.3177
2025-02-01,2025-05-01,3,127,101,0.7953,2346750.35,1.3459
2025-02-01,2025-06-01,4,127,100,0.7874,2430509.18,1.3939
2025-02-01,2025-07-01,5,127,98,0.7717,2310964.02,1.3254
2025-02-01,2025-08-01,6,127,96,0.7559,2564546.33,1.4708
2025-02-01,2025-09-01,7,127,100,0.7874,2602556.33,1.4926
2025-02-01,2025-10-01,8,127,95,0.748,2856602.1,1.6383
2025-02-01,2025-11-01,9,127,89,0.7008,2799681.16,1.6057
2025-02-01,2025-12-01,10,127,96,0.7559,2678560.57,1.5362
2025-02-01,2026-01-01,11,127,95,0.748,2359704.31,1.3533
2025-02-01,2026-02-01,12,127,85,0.6693,2094418.55,1.2012
2025-02-01,2026-03-01,13,127,86,0.6772,2517811.51,1.444
2025-02-01,2026-04-01,14,127,88,0.6929,2366569.64,1.3573
2025-02-01,2026-05-01,15,127,90,0.7087,2461837.36,1.4119
2025-02-01,2026-06-01,16,127,87,0.685,2215429.34,1.2706
2025-02-01,2026-07-01,17,127,83,0.6535,2195656.06,1.2593
2025-03-01,2025-03-01,0,128,128,1.0,2101605.32,1.0
2025-03-01,2025-04-01,1,128,120,0.9375,2365080.46,1.1254
2025-03-01,2025-05-01,2,128,113,0.8828,2645455.9,1.2588
2025-03-01,2025-06-01,3,128,103,0.8047,2605834.78,1.2399
2025-03-01,2025-07-01,4,128,96,0.75,2848088.94,1.3552
2025-03-01,2025-08-01,5,128,101,0.7891,2908023.52,1.3837
2025-03-01,2025-09-01,6,128,97,0.7578,2896659.46,1.3783
2025-03-01,2025-10-01,7,128,92,0.7188,2968252.87,1.4124
2025-03-01,2025-11-01,8,128,91,0.7109,2492006.28,1.1858
2025-03-01,2025-12-01,9,128,85,0.6641,2172178.73,1.0336
2025-03-01,2026-01-01,10,128,85,0.6641,2023870.77,0.963
2025-03-01,2026-02-01,11,128,81,0.6328,1978154.0,0.9413
2025-03-01,2026-03-01,12,128,79,0.6172,2327200.16,1.1073
2025-03-01,2026-04-01,13,128,83,0.6484,2351645.49,1.119
2025-03-01,2026-05-01,14,128,78,0.6094,2023772.43,0.963
2025-03-01,2026-06-01,15,128,82,0.6406,2048198.13,0.9746
2025-03-01,2026-07-01,16,128,88,0.6875,2147961.45,1.0221
2025-04-01,2025-04-01,0,121,121,1.0,1248504.07,1.0
2025-04-01,2025-05-01,1,121,109,0.9008,1401863.82,1.1228
2025-04-01,2025-06-01,2,121,102,0.843,1549271.51,1.2409
2025-04-01,2025-07-01,3,121,99,0.8182,1711130.4,1.3705
2025-04-01,2025-08-01,4,121,101,0.8347,1852809.44,1.484
2025-04-01,2025-09-01,5,121,102,0.843,1992341.44,1.5958
2025-04-01,2025-10-01,6,121,96,0.7934,2136865.67,1.7115
2025-04-01,2025-11-01,7,121,89,0.7355,1904205.34,1.5252
2025-04-01,2025-12-01,8,121,89,0.7355,1702813.57,1.3639
