issuer_bank,avg_success_rate,avg_volume_share,worst_sr_delta,cumulative_rate_effect,total_failed_value_inr,rank_by_worst_sr,rank_by_network_impact
SBI,0.871926,0.190855,-0.18614,-0.212877,68762990.79,2,1
RRB_GRAMIN,0.84572,0.046107,-0.05435,-0.023611,18888168.38,1,2
AXIS,0.946092,0.092637,-0.001994,-0.001842,14553055.19,10,3
ICICI,0.955436,0.114686,-0.00246,-0.001518,15283578.03,13,4
PNB,0.904078,0.076299,-0.005334,-0.001126,20998821.23,4,5
BOB,0.910045,0.057282,-0.005804,-0.000767,14782425.54,6,6
PAYTM_PB,0.935507,0.02665,-0.00595,-0.000412,4818405.82,8,7
UNION,0.900546,0.045042,-0.006059,1.3e-05,12026204.61,3,8
IDFC,0.947429,0.030262,-0.005309,0.000122,4646031.63,11,9
KOTAK,0.952743,0.060434,-0.004169,0.000191,8153100.32,12,10
AU_SFB,0.930204,0.022381,-0.004797,0.000727,4456462.01,7,11
HDFC,0.95927,0.150979,-0.001702,0.001108,18380901.14,14,12
CANARA,0.907781,0.048555,-0.00404,0.001385,12590867.79,5,13
YES,0.940534,0.037832,-0.001881,0.001482,6372706.42,9,14
