month,active_merchants,new_merchants,reactivated_merchants,went_silent_merchants,churned_merchants,tpv_inr,success_rate,failed_value_inr,tickets_raised,tpv_per_active_merchant,merchant_mom_growth,tpv_mom_growth,net_merchant_adds,is_censored_boundary
2024-08-01,3338,3338,0,0,0,48377997.96,0.929547,4247095.84,418.0,14493.11,,,3338,1
2024-09-01,3255,174,0,257,221,61842456.13,0.931171,5006174.1,378.0,18999.22,-0.024865,0.278318,-83,0
2024-10-01,3193,134,36,232,216,87023375.18,0.930093,7077599.15,381.0,27254.42,-0.019048,0.407179,-62,0
2024-11-01,3026,137,33,337,253,89355201.16,0.930136,7309896.43,375.0,29529.15,-0.052302,0.026795,-167,0
2024-12-01,3031,143,106,244,168,88443745.0,0.930156,7373727.23,375.0,29179.72,0.001652,-0.0102,5,0
2025-01-01,3102,127,186,242,178,81841336.1,0.93028,6675394.48,390.0,26383.41,0.023425,-0.074651,71,0
2025-02-01,3129,127,169,269,177,82273438.3,0.93037,6682753.91,414.0,26293.84,0.008704,0.00528,27,0
2025-03-01,3220,128,192,229,146,96207275.45,0.929465,7871125.16,414.0,29878.04,0.029083,0.16936,91,0
2025-04-01,3304,121,183,220,145,94667189.58,0.930503,7952462.35,442.0,28652.3,0.026087,-0.016008,84,0
2025-05-01,3388,127,174,217,137,94736932.52,0.930002,7640805.54,442.0,27962.49,0.025424,0.000737,84,0
2025-06-01,3482,136,197,239,148,90291084.61,0.930474,7545367.2,445.0,25930.81,0.027745,-0.046928,94,0
2025-07-01,3553,127,208,264,157,91147551.63,0.929409,7470941.45,503.0,25653.69,0.020391,0.009486,71,0
2025-08-01,3687,118,227,211,147,96315707.56,0.911883,10121165.5,478.0,26123.06,0.037715,0.056701,134,0
2025-09-01,3753,109,201,244,171,105919910.78,0.894517,13093240.8,615.0,28222.73,0.017901,0.099716,66,0
2025-10-01,3782,108,202,281,202,126719156.64,0.894193,16286691.9,715.0,33505.86,0.007727,0.196368,29,0
2025-11-01,3832,123,207,280,216,123355428.18,0.893817,15675479.61,664.0,32190.87,0.013221,-0.026545,50,0
2025-12-01,3864,108,209,285,206,110906319.96,0.894311,13695737.69,722.0,28702.46,0.008351,-0.100921,32,0
2026-01-01,3930,143,216,293,198,102847917.59,0.895094,13095799.36,751.0,26169.95,0.017081,-0.07266,66,0
2026-02-01,3991,126,249,314,219,103582595.72,0.911483,10755197.55,697.0,25954.05,0.015522,0.007143,61,0
2026-03-01,4088,108,231,242,153,122857177.04,0.929242,10313170.19,597.0,30053.13,0.024305,0.186079,97,0
2026-04-01,4189,109,247,255,164,117716971.85,0.929125,9900677.01,565.0,28101.45,0.024706,-0.041839,101,0
2026-05-01,4278,120,238,269,178,120289274.18,0.929028,9908649.86,576.0,28118.11,0.021246,0.021852,89,0
2026-06-01,4249,3,243,275,165,112747653.81,0.927942,9622151.33,547.0,26535.1,-0.006779,-0.062696,-29,0
2026-07-01,4270,2,290,271,0,111438157.95,0.928306,9392415.26,572.0,26097.93,0.004942,-0.011614,21,1
