month,failed_value_inr,revenue_lost_inr,success_rate,excess_revenue_lost_inr
2024-08-01,4247095.84,17837.8,0.929547,151.07
2024-09-01,5006174.1,21025.93,0.931171,0.0
2024-10-01,7077599.15,29725.92,0.930093,54.34
2024-11-01,7309896.43,30701.57,0.930136,38.37
2024-12-01,7373727.23,30969.65,0.930156,29.98
2025-01-01,6675394.48,28036.66,0.93028,0.0
2025-02-01,6682753.91,28067.57,0.93037,0.0
2025-03-01,7871125.16,33058.73,0.929465,334.62
2025-04-01,7952462.35,33400.34,0.930503,0.0
2025-05-01,7640805.54,32091.38,0.930002,98.25
2025-06-01,7545367.2,31690.54,0.930474,0.0
2025-07-01,7470941.45,31377.95,0.929409,340.26
2025-08-01,10121165.5,42508.9,0.911883,8201.97
2025-09-01,13093240.8,54991.61,0.894517,17851.58
2025-10-01,16286691.9,68404.11,0.894193,21645.01
2025-11-01,15675479.61,65837.01,0.893817,21262.93
2025-12-01,13695737.69,57522.1,0.894311,18797.7
2026-01-01,13095799.36,55002.36,0.895094,17110.2
2026-02-01,10755197.55,45171.83,0.911483,9002.9
2026-03-01,10313170.19,43315.31,0.929242,552.88
2026-04-01,9900677.01,41582.84,0.929125,592.54
2026-05-01,9908649.86,41616.33,0.929028,657.56
2026-06-01,9622151.33,40413.04,0.927942,1176.18
2026-07-01,9392415.26,39448.14,0.928306,976.66
