merchant_id,segment_id
MID101361,0
MID103411,0
MID100031,0
MID100878,0
MID103300,0
MID101990,0
MID102005,0
MID103460,0
MID103671,0
MID103499,0
MID105217,0
MID104200,0
MID102649,0
MID105720,0
MID101581,0
MID100232,0
MID103936,0
MID100733,0
MID105074,0
MID102157,0
MID101630,0
MID104666,0
MID104089,2
MID101417,0
MID101112,0
MID101172,2
MID101212,0
MID102564,0
MID104731,0
MID103475,0
MID100573,0
MID105979,0
MID104715,2
MID104385,2
MID102982,0
MID101467,0
MID103292,0
MID101328,2
MID103965,0
MID101923,0
MID104580,0
MID102006,0
MID103522,0
MID103621,0
MID104394,0
MID105444,0
MID105316,0
MID101826,0
MID103868,0
MID101718,1
MID104555,0
MID102581,0
MID101252,0
MID100856,0
MID104753,0
MID100371,0
MID104376,0
MID104013,0
MID103699,0
MID101120,0
MID103925,1
MID103981,2
MID103033,0
MID103710,1
MID100910,0
MID100402,0
MID105027,0
MID102270,0
MID105080,0
MID105845,1
MID101519,2
MID104038,0
MID102890,0
MID102182,0
MID100945,1
MID103215,0
MID104867,1
MID102265,2
MID100584,0
MID103513,1
MID105508,2
MID103501,1
MID100298,0
MID100657,0
MID105140,0
MID104977,0
MID104277,0
MID103836,0
MID104539,2
MID102762,0
MID100618,0
MID100457,2
MID102790,1
MID105851,1
MID102395,1
MID101870,0
MID103128,0
MID100268,1
MID102906,0
MID103775,0
MID104497,2
MID102577,0
MID105423,0
MID100305,2
MID105758,0
MID105766,2
MID105457,2
MID103918,0
MID105798,0
MID105016,0
MID103271,1
MID101429,0
MID101871,0
MID104220,1
MID105857,0
MID105307,2
MID102567,0
MID103109,0
MID103375,0
MID105433,1
MID101426,1
MID100989,0
MID101372,0
MID104909,0
MID104741,1
MID103410,1
MID104624,0
MID104639,0
MID103070,0
MID101720,1
MID100174,2
MID104179,1
MID100169,0
MID100849,0
MID101816,0
MID104348,0
MID103948,1
MID103127,0
MID101862,0
MID104962,0
MID105127,0
MID101835,2
MID103504,1
MID105515,0
MID101182,0
MID100233,1
MID101373,0
MID102639,0
MID103233,0
MID102416,0
MID103712,0
MID100272,0
MID103324,0
MID104485,0
MID100079,0
MID105799,1
MID100458,0
MID101709,0
MID101843,1
MID105542,0
MID104241,0
MID100205,1
MID104283,0
MID102996,0
MID105582,0
MID101960,0
MID101414,1
MID100814,0
MID102493,1
MID100943,2
MID104788,0
MID105164,0
MID101330,1
MID104952,0
MID103199,1
MID101227,1
MID103824,0
MID100496,0
MID105490,0
MID100141,2
MID101104,0
MID101617,0
MID102180,0
MID104263,0
MID101029,0
MID103822,1
MID104705,0
MID101680,0
MID104422,0
MID100651,0
MID103179,1
MID104052,1
MID100075,0
MID101805,1
MID100790,0
MID100933,1
MID100916,0
MID104540,1
MID103392,1
MID100825,1
MID105592,0
MID103859,0
MID103262,0
MID105873,0
MID101438,0
MID100122,2
MID101914,0
MID102641,1
MID101551,1
MID101546,0
MID101135,1
MID103355,0
MID100692,0
MID105784,1
MID105644,0
MID100344,1
MID102592,0
MID105703,0
MID100314,0
MID102374,0
MID102813,0
MID103573,2
MID104699,1
MID101326,0
MID103747,0
MID103301,0
MID105062,0
MID104187,0
MID103032,0
MID100552,0
MID100995,0
MID105789,0
MID103701,0
MID101352,0
MID104873,1
MID100882,1
MID104592,1
MID100687,0
MID105492,0
MID103346,0
MID102239,0
MID102023,1
MID101936,1
MID103451,0
MID100595,0
MID100236,1
MID103122,1
MID102045,0
MID100251,2
MID101256,0
MID104938,0
MID105175,0
MID102214,0
MID102642,0
MID102971,0
MID101423,1
MID102360,0
MID101302,0
MID102816,1
MID101141,1
MID101108,1
MID100420,0
MID100048,1
MID100229,0
MID103287,0
MID102701,0
MID102243,0
MID101122,1
MID102349,1
MID100563,0
MID104467,0
MID102689,0
MID102263,1
MID104107,0
MID105174,0
MID100579,0
MID104646,0
MID100561,0
MID104658,0
MID105368,0
MID104011,0
MID103035,0
MID100764,0
MID105348,0
MID102688,0
MID105159,0
MID104521,1
MID105846,0
MID105092,1
MID105019,0
MID104021,0
MID102438,1
MID101693,1
MID103908,0
MID105407,0
MID102269,0
MID102311,0
MID104880,0
MID103814,0
MID102248,2
MID103205,1
MID103834,2
MID105385,1
MID104609,2
MID105493,0
MID104778,0
MID105962,0
MID102168,0
MID103316,2
MID105668,0
MID103111,0
MID103906,1
MID101071,0
MID100213,0
MID101371,0
MID102178,1
MID103704,0
MID103696,1
MID102152,1
MID103107,0
MID105473,1
MID102004,0
MID104349,0
MID101243,2
MID105626,1
MID105932,0
MID101424,1
MID100979,0
MID105725,2
MID100343,0
MID103238,2
MID101363,1
MID103105,0
MID101082,0
MID105864,0
MID101653,0
MID102916,0
MID104353,0
MID105922,0
MID102999,0
MID101605,0
MID100755,1
MID101678,1
MID100410,0
MID104536,0
MID103759,0
MID105117,0
MID103559,1
MID105389,0
MID101697,0
MID100150,2
MID100373,0
MID105734,0
MID101921,1
MID101654,1
MID104315,0
MID103454,0
MID105359,0
MID101503,0
MID101829,0
MID101160,2
MID103591,0
MID105693,0
MID102727,0
MID101666,0
MID100250,0
MID101842,0
MID100591,0
MID104173,1
MID105292,1
MID102429,0
MID100007,0
MID104651,0
MID103374,0
MID102981,0
MID105328,1
MID103463,0
MID102382,2
MID101367,0
MID101676,0
MID102676,0
MID100800,0
MID105654,1
MID102894,0
MID105982,0
MID100408,0
MID104837,0
MID102153,1
MID101644,0
MID100451,0
MID104418,0
MID101504,1
MID102410,0
MID105714,0
MID104688,0
MID102773,0
MID105289,0
MID100918,0
MID103285,0
MID105248,0
MID105935,0
MID105983,0
MID105981,0
MID101103,1
MID100127,0
MID102146,1
MID103479,0
MID100377,0
MID103057,1
MID105764,1
MID105098,0
MID104593,0
MID102179,2
MID105356,0
MID100524,1
MID102714,0
MID101294,0
MID101316,1
MID102755,0
MID103538,0
MID101188,2
MID103871,2
MID101279,1
MID105415,0
MID101673,0
MID105818,0
MID104018,0
MID101657,0
MID102435,0
MID103306,1
MID105627,2
MID104227,0
